image_id,image_group_id,part_category,part_family,split,rank_within_category,image_path,sha256,width,height,mode,source_dataset,source_category,source_original_split,source_archive_path
v4_air_compressor_train_0069_f41bf0114304fd6f,sha256_f41bf0114304fd6f78529674c4cf7b5028da047179887bfa8f727baa2547c3fc,air_compressor,cooling_and_climate,train,69,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0069_f41bf0114304fd6f.jpg,f41bf0114304fd6f78529674c4cf7b5028da047179887bfa8f727baa2547c3fc,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/007.jpg
v4_air_compressor_train_0070_21316569273bcc50,sha256_21316569273bcc505d13032a93d8fefe8921bd96160fb450d162981b5029f030,air_compressor,cooling_and_climate,train,70,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0070_21316569273bcc50.jpg,21316569273bcc505d13032a93d8fefe8921bd96160fb450d162981b5029f030,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/071.jpg
v4_air_compressor_train_0071_73fa5f1c917946ad,sha256_73fa5f1c917946ad099b77a44126d375d2a0486d281c8d301f75b861ebeef92c,air_compressor,cooling_and_climate,train,71,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0071_73fa5f1c917946ad.jpg,73fa5f1c917946ad099b77a44126d375d2a0486d281c8d301f75b861ebeef92c,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/149.jpg
v4_air_compressor_train_0072_e135bb31a7bd016e,sha256_e135bb31a7bd016e7b180bd1009b5f95a17d1453d40b11b6dbb7dee57a525379,air_compressor,cooling_and_climate,train,72,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0072_e135bb31a7bd016e.jpg,e135bb31a7bd016e7b180bd1009b5f95a17d1453d40b11b6dbb7dee57a525379,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/169.jpg
v4_air_compressor_train_0073_aa2a1f05df239fa2,sha256_aa2a1f05df239fa25f1a51a2c477e939ec80d87cb5d9040b96badb7738a280fe,air_compressor,cooling_and_climate,train,73,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0073_aa2a1f05df239fa2.jpg,aa2a1f05df239fa25f1a51a2c477e939ec80d87cb5d9040b96badb7738a280fe,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/132.jpg
v4_air_compressor_train_0074_0de28ede464659d3,sha256_0de28ede464659d313aeaa032244ee59225bbde648f796b48485981c882c49d9,air_compressor,cooling_and_climate,train,74,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0074_0de28ede464659d3.jpg,0de28ede464659d313aeaa032244ee59225bbde648f796b48485981c882c49d9,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/135.jpg
v4_air_compressor_train_0075_ea270f7335366631,sha256_ea270f73353666318bccac9943fbda11614b6a220bc18c4f2297cdfd9aa9dc36,air_compressor,cooling_and_climate,train,75,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0075_ea270f7335366631.jpg,ea270f73353666318bccac9943fbda11614b6a220bc18c4f2297cdfd9aa9dc36,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/145.jpg
v4_air_compressor_train_0076_b034bfcbf3189334,sha256_b034bfcbf31893341ea54bd31379666ff4dcebd09f736bafdf5abb07c1184b27,air_compressor,cooling_and_climate,train,76,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0076_b034bfcbf3189334.jpg,b034bfcbf31893341ea54bd31379666ff4dcebd09f736bafdf5abb07c1184b27,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/092.jpg
v4_air_compressor_train_0077_3c1ef7026ae66206,sha256_3c1ef7026ae6620677c610ca274d3c32648fc4dfa854717cce47ff645c8d2e57,air_compressor,cooling_and_climate,train,77,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0077_3c1ef7026ae66206.jpg,3c1ef7026ae6620677c610ca274d3c32648fc4dfa854717cce47ff645c8d2e57,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/134.jpg
v4_air_compressor_train_0078_c4dc299f9944c2e6,sha256_c4dc299f9944c2e62b7557f5a233f30a5b9dd509bedafb0cec5bd4bb3b4579dc,air_compressor,cooling_and_climate,train,78,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0078_c4dc299f9944c2e6.jpg,c4dc299f9944c2e62b7557f5a233f30a5b9dd509bedafb0cec5bd4bb3b4579dc,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/159.jpg
v4_air_compressor_train_0079_65c4d0ddae78b9e0,sha256_65c4d0ddae78b9e00f54334fa5a20fc7f86bc6abd6537cc44dbde82af9c3b608,air_compressor,cooling_and_climate,train,79,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0079_65c4d0ddae78b9e0.jpg,65c4d0ddae78b9e00f54334fa5a20fc7f86bc6abd6537cc44dbde82af9c3b608,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/160.jpg
v4_air_compressor_train_0080_7b8b5a6728df38d6,sha256_7b8b5a6728df38d687e04feef2c648eec03ff7657aa1f8dbc9c639ef8e5df999,air_compressor,cooling_and_climate,train,80,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0080_7b8b5a6728df38d6.jpg,7b8b5a6728df38d687e04feef2c648eec03ff7657aa1f8dbc9c639ef8e5df999,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/075.jpg
v4_air_compressor_train_0081_e08ae936f3ccceae,sha256_e08ae936f3ccceae51411f22cd118c386996db86f4c2dd2235091dd4d60fa63e,air_compressor,cooling_and_climate,train,81,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0081_e08ae936f3ccceae.jpg,e08ae936f3ccceae51411f22cd118c386996db86f4c2dd2235091dd4d60fa63e,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/043.jpg
v4_air_compressor_train_0082_98fef2db17bd66fb,sha256_98fef2db17bd66fbcbe05bef1fed6177c9b3cfd2b279a220942d4943617ab846,air_compressor,cooling_and_climate,train,82,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0082_98fef2db17bd66fb.jpg,98fef2db17bd66fbcbe05bef1fed6177c9b3cfd2b279a220942d4943617ab846,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/037.jpg
v4_air_compressor_train_0083_e0128eb9d8d23def,sha256_e0128eb9d8d23def8d46c2ca1910e3867037979e885f626217fd60aa8a278e68,air_compressor,cooling_and_climate,train,83,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0083_e0128eb9d8d23def.jpg,e0128eb9d8d23def8d46c2ca1910e3867037979e885f626217fd60aa8a278e68,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/167.jpg
v4_air_compressor_train_0084_1441cd22174ec3dc,sha256_1441cd22174ec3dc514f7f6b99a394b9b97529660106e22aaa5f1f94262e9038,air_compressor,cooling_and_climate,train,84,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0084_1441cd22174ec3dc.jpg,1441cd22174ec3dc514f7f6b99a394b9b97529660106e22aaa5f1f94262e9038,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/111.jpg
v4_air_compressor_train_0085_de5b7604dfa14566,sha256_de5b7604dfa14566a78794502fc96ceaa82b2a81a5954a5526d7735c23f5c49a,air_compressor,cooling_and_climate,train,85,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0085_de5b7604dfa14566.jpg,de5b7604dfa14566a78794502fc96ceaa82b2a81a5954a5526d7735c23f5c49a,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/130.jpg
v4_air_compressor_train_0086_d3f81d5fe1b4e9a8,sha256_d3f81d5fe1b4e9a879e0653bf313da433b87d976c29453f9c887f1e2b5b0204a,air_compressor,cooling_and_climate,train,86,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0086_d3f81d5fe1b4e9a8.jpg,d3f81d5fe1b4e9a879e0653bf313da433b87d976c29453f9c887f1e2b5b0204a,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/050.jpg
v4_air_compressor_train_0087_d9b49ac9ef924da9,sha256_d9b49ac9ef924da959bd6437b4ec4de853b8ac366e3e0587321ea8a081929815,air_compressor,cooling_and_climate,train,87,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0087_d9b49ac9ef924da9.jpg,d9b49ac9ef924da959bd6437b4ec4de853b8ac366e3e0587321ea8a081929815,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/177.jpg
v4_air_compressor_train_0088_69a704823e78967c,sha256_69a704823e78967c40e6b4be770f82a074f4eb6c604c54b8d6b45692e0991697,air_compressor,cooling_and_climate,train,88,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0088_69a704823e78967c.jpg,69a704823e78967c40e6b4be770f82a074f4eb6c604c54b8d6b45692e0991697,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/068.jpg
v4_air_compressor_train_0089_a68a792e2e6336a0,sha256_a68a792e2e6336a067f89cf3faa94018d3278575f8fc7465b043eecc591605a8,air_compressor,cooling_and_climate,train,89,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0089_a68a792e2e6336a0.jpg,a68a792e2e6336a067f89cf3faa94018d3278575f8fc7465b043eecc591605a8,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/003.jpg
v4_air_compressor_train_0090_27838c6becdd3272,sha256_27838c6becdd3272eb284680b145b3bc0d6741e6619f8c8be9ac6879705ff4d1,air_compressor,cooling_and_climate,train,90,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0090_27838c6becdd3272.jpg,27838c6becdd3272eb284680b145b3bc0d6741e6619f8c8be9ac6879705ff4d1,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/125.jpg
v4_air_compressor_train_0091_c6f43c52bef05d6c,sha256_c6f43c52bef05d6c56ae952192358a2a1299f52963745d0a28f0a83016046f4a,air_compressor,cooling_and_climate,train,91,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0091_c6f43c52bef05d6c.jpg,c6f43c52bef05d6c56ae952192358a2a1299f52963745d0a28f0a83016046f4a,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,test,car parts 50/test/AIR COMPRESSOR/3.jpg
v4_air_compressor_train_0092_21a4bc9016f2d281,sha256_21a4bc9016f2d281b9dfa151e0c17ca4d0eb87b74a99ada9ce87b124ee276d3e,air_compressor,cooling_and_climate,train,92,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0092_21a4bc9016f2d281.jpg,21a4bc9016f2d281b9dfa151e0c17ca4d0eb87b74a99ada9ce87b124ee276d3e,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/117.jpg
v4_air_compressor_train_0093_3cc5e96329ed251c,sha256_3cc5e96329ed251cc85412ad77eab9b83ecabf7198f9db6261b81f325aa8eff6,air_compressor,cooling_and_climate,train,93,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0093_3cc5e96329ed251c.jpg,3cc5e96329ed251cc85412ad77eab9b83ecabf7198f9db6261b81f325aa8eff6,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/008.jpg
v4_air_compressor_train_0094_1c16f03df300bbae,sha256_1c16f03df300bbae34007586bc52b6d4baff83833bf1e8769b7957b505059021,air_compressor,cooling_and_climate,train,94,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0094_1c16f03df300bbae.jpg,1c16f03df300bbae34007586bc52b6d4baff83833bf1e8769b7957b505059021,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/011.jpg
v4_air_compressor_train_0095_506cb1693e2c2318,sha256_506cb1693e2c23187d98b1e95c2966e2695674c2cf59446a3bf998e2c0d61704,air_compressor,cooling_and_climate,train,95,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0095_506cb1693e2c2318.jpg,506cb1693e2c23187d98b1e95c2966e2695674c2cf59446a3bf998e2c0d61704,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/123.jpg
v4_air_compressor_train_0096_4f9b97b8caa7c08f,sha256_4f9b97b8caa7c08fc03edca9795915bc17ef44322abc3b3dea4676589f81ea23,air_compressor,cooling_and_climate,train,96,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0096_4f9b97b8caa7c08f.jpg,4f9b97b8caa7c08fc03edca9795915bc17ef44322abc3b3dea4676589f81ea23,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/087.jpg
v4_air_compressor_train_0097_20f34662fbfe3656,sha256_20f34662fbfe365613953c65bb9be065a7b599cf9f06bc8592884391dfa77c3b,air_compressor,cooling_and_climate,train,97,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0097_20f34662fbfe3656.jpg,20f34662fbfe365613953c65bb9be065a7b599cf9f06bc8592884391dfa77c3b,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/157.jpg
v4_air_compressor_train_0098_cfa7a4cf4f1cb692,sha256_cfa7a4cf4f1cb692bc8ad08e8c719fdefc4c87177e09e69b3c12dd66d30f61bc,air_compressor,cooling_and_climate,train,98,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0098_cfa7a4cf4f1cb692.jpg,cfa7a4cf4f1cb692bc8ad08e8c719fdefc4c87177e09e69b3c12dd66d30f61bc,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,test,car parts 50/test/AIR COMPRESSOR/4.jpg
v4_air_compressor_train_0099_cc1891afd1da5273,sha256_cc1891afd1da5273533bf7932448cab3e322b4a181e1a87dc001756a35aa2737,air_compressor,cooling_and_climate,train,99,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0099_cc1891afd1da5273.jpg,cc1891afd1da5273533bf7932448cab3e322b4a181e1a87dc001756a35aa2737,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/028.jpg
v4_air_compressor_train_0100_198479f73ca72cca,sha256_198479f73ca72cca6d2ad3caf2ab9df2056ef9f569c83346c7bd425e9703fad7,air_compressor,cooling_and_climate,train,100,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0100_198479f73ca72cca.jpg,198479f73ca72cca6d2ad3caf2ab9df2056ef9f569c83346c7bd425e9703fad7,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/063.jpg
v4_air_compressor_train_0101_d52218bc0d26f0af,sha256_d52218bc0d26f0af8c2b72ef2d95a7f29cb64c119a1d4800d0449d21f93fce9a,air_compressor,cooling_and_climate,train,101,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0101_d52218bc0d26f0af.jpg,d52218bc0d26f0af8c2b72ef2d95a7f29cb64c119a1d4800d0449d21f93fce9a,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/023.jpg
v4_air_compressor_train_0102_d482e7994084321d,sha256_d482e7994084321d0927fa323ac3e9f3d6c75242607c1868e130410a4655dc2d,air_compressor,cooling_and_climate,train,102,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0102_d482e7994084321d.jpg,d482e7994084321d0927fa323ac3e9f3d6c75242607c1868e130410a4655dc2d,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/164.jpg
v4_air_compressor_train_0103_c60957ef84e9a581,sha256_c60957ef84e9a5811963abef65033d85c6dd72be3b497ac0aecae513e211d500,air_compressor,cooling_and_climate,train,103,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0103_c60957ef84e9a581.jpg,c60957ef84e9a5811963abef65033d85c6dd72be3b497ac0aecae513e211d500,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/057.jpg
v4_air_compressor_train_0104_d3031223dd9caa04,sha256_d3031223dd9caa0411065fd757541dbe9c67b8a4b92f8f42c3c300af623f3ace,air_compressor,cooling_and_climate,train,104,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0104_d3031223dd9caa04.jpg,d3031223dd9caa0411065fd757541dbe9c67b8a4b92f8f42c3c300af623f3ace,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/118.jpg
v4_air_compressor_train_0105_d075bb10ddc4dd92,sha256_d075bb10ddc4dd92581ac122f61474b6299432f8bbff5021ad3f7d50c7e5f438,air_compressor,cooling_and_climate,train,105,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0105_d075bb10ddc4dd92.jpg,d075bb10ddc4dd92581ac122f61474b6299432f8bbff5021ad3f7d50c7e5f438,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/042.jpg
v4_air_compressor_train_0106_800071b1f28ffe33,sha256_800071b1f28ffe33807fdc0f5845c9ff247c3562951ceb5a20e1ae6e352a0636,air_compressor,cooling_and_climate,train,106,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0106_800071b1f28ffe33.jpg,800071b1f28ffe33807fdc0f5845c9ff247c3562951ceb5a20e1ae6e352a0636,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/019.jpg
v4_air_compressor_train_0107_dd40e16ba1eaff75,sha256_dd40e16ba1eaff758cfa772886614fa5dba35c83d6b9a672087f8f7ab8f673d5,air_compressor,cooling_and_climate,train,107,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0107_dd40e16ba1eaff75.jpg,dd40e16ba1eaff758cfa772886614fa5dba35c83d6b9a672087f8f7ab8f673d5,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/100.jpg
v4_air_compressor_train_0108_dab5fad4e384bc3c,sha256_dab5fad4e384bc3c4392529b742cf403fca0d03417c00ef50d338f68fa3dd4bb,air_compressor,cooling_and_climate,train,108,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0108_dab5fad4e384bc3c.jpg,dab5fad4e384bc3c4392529b742cf403fca0d03417c00ef50d338f68fa3dd4bb,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/010.jpg
v4_air_compressor_train_0109_086b8530de06be41,sha256_086b8530de06be4118394f3c3284039410c79af9a2a44eb795b883a3f69eb50c,air_compressor,cooling_and_climate,train,109,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0109_086b8530de06be41.jpg,086b8530de06be4118394f3c3284039410c79af9a2a44eb795b883a3f69eb50c,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/022.jpg
v4_air_compressor_train_0110_15375f927540ef1b,sha256_15375f927540ef1b600464bfe99cf498af72b0160fa1b04d53bf75dc3ff02531,air_compressor,cooling_and_climate,train,110,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0110_15375f927540ef1b.jpg,15375f927540ef1b600464bfe99cf498af72b0160fa1b04d53bf75dc3ff02531,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/015.jpg
v4_air_compressor_train_0111_d03a1c5d25f0fc40,sha256_d03a1c5d25f0fc4071880a8325740c212e9fa8d2cb5306fee28a0f35b40ece2e,air_compressor,cooling_and_climate,train,111,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0111_d03a1c5d25f0fc40.jpg,d03a1c5d25f0fc4071880a8325740c212e9fa8d2cb5306fee28a0f35b40ece2e,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/002.jpg
v4_air_compressor_train_0112_a702caf460e9e1bf,sha256_a702caf460e9e1bf02a39031908f74c90385157c8f2bc1073f0c81a79a1547cc,air_compressor,cooling_and_climate,train,112,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0112_a702caf460e9e1bf.jpg,a702caf460e9e1bf02a39031908f74c90385157c8f2bc1073f0c81a79a1547cc,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/178.jpg
v4_air_compressor_train_0113_0cc8630c29dafb01,sha256_0cc8630c29dafb019dcd3bd186022d84994f89e94d7823cd15738019cfd48680,air_compressor,cooling_and_climate,train,113,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0113_0cc8630c29dafb01.jpg,0cc8630c29dafb019dcd3bd186022d84994f89e94d7823cd15738019cfd48680,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/174.jpg
v4_air_compressor_train_0114_59b03177af89cad4,sha256_59b03177af89cad4341a6f9a07a51bd50263d336594ad1f30deb28af57e5e778,air_compressor,cooling_and_climate,train,114,data/images/dataset_v4/train/air_compressor/v4_air_compressor_train_0114_59b03177af89cad4.jpg,59b03177af89cad4341a6f9a07a51bd50263d336594ad1f30deb28af57e5e778,224,224,RGB,gpiosenka_car_parts_50,AIR COMPRESSOR,train,car parts 50/train/AIR COMPRESSOR/014.jpg
