sample_id,image_id,part_category,text_category,label,prediction
v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb_match_01,v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb,fuel_injector,fuel_injector,MATCH,PARTIAL_MATCH
v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb_match_02,v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb,fuel_injector,fuel_injector,MATCH,PARTIAL_MATCH
v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb_match_03,v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb,fuel_injector,fuel_injector,MATCH,PARTIAL_MATCH
v4_ignition_coil_test_0016_311d860ca63db180_match_01,v4_ignition_coil_test_0016_311d860ca63db180,ignition_coil,ignition_coil,MATCH,PARTIAL_MATCH
v4_ignition_coil_test_0016_311d860ca63db180_match_02,v4_ignition_coil_test_0016_311d860ca63db180,ignition_coil,ignition_coil,MATCH,PARTIAL_MATCH
v4_spark_plug_test_0020_cf4b36c5a613d930_match_01,v4_spark_plug_test_0020_cf4b36c5a613d930,spark_plug,spark_plug,MATCH,PARTIAL_MATCH
v4_spark_plug_test_0011_da579cf485348b9d_match_01,v4_spark_plug_test_0011_da579cf485348b9d,spark_plug,spark_plug,MATCH,PARTIAL_MATCH
v4_spark_plug_test_0020_cf4b36c5a613d930_match_02,v4_spark_plug_test_0020_cf4b36c5a613d930,spark_plug,spark_plug,MATCH,PARTIAL_MATCH
v4_spark_plug_test_0011_da579cf485348b9d_match_02,v4_spark_plug_test_0011_da579cf485348b9d,spark_plug,spark_plug,MATCH,PARTIAL_MATCH
v4_idler_arm_test_0027_a965628f9c0e3295_match_01,v4_idler_arm_test_0027_a965628f9c0e3295,idler_arm,idler_arm,MATCH,MISMATCH
v4_idler_arm_test_0027_a965628f9c0e3295_match_02,v4_idler_arm_test_0027_a965628f9c0e3295,idler_arm,idler_arm,MATCH,MISMATCH
v4_leaf_spring_test_0004_29bba8f26a23b119_match_01,v4_leaf_spring_test_0004_29bba8f26a23b119,leaf_spring,leaf_spring,MATCH,MISMATCH
v4_leaf_spring_test_0003_99814a47deae3c7d_match_01,v4_leaf_spring_test_0003_99814a47deae3c7d,leaf_spring,leaf_spring,MATCH,PARTIAL_MATCH
v4_leaf_spring_test_0004_29bba8f26a23b119_match_02,v4_leaf_spring_test_0004_29bba8f26a23b119,leaf_spring,leaf_spring,MATCH,MISMATCH
v4_leaf_spring_test_0003_99814a47deae3c7d_match_02,v4_leaf_spring_test_0003_99814a47deae3c7d,leaf_spring,leaf_spring,MATCH,PARTIAL_MATCH
v4_leaf_spring_test_0004_29bba8f26a23b119_match_03,v4_leaf_spring_test_0004_29bba8f26a23b119,leaf_spring,leaf_spring,MATCH,MISMATCH
v4_leaf_spring_test_0003_99814a47deae3c7d_match_03,v4_leaf_spring_test_0003_99814a47deae3c7d,leaf_spring,leaf_spring,MATCH,PARTIAL_MATCH
v4_leaf_spring_test_0004_29bba8f26a23b119_match_04,v4_leaf_spring_test_0004_29bba8f26a23b119,leaf_spring,leaf_spring,MATCH,MISMATCH
v4_lower_control_arm_test_0018_fb4d8b5b3050d97e_match_01,v4_lower_control_arm_test_0018_fb4d8b5b3050d97e,lower_control_arm,lower_control_arm,MATCH,MISMATCH
v4_lower_control_arm_test_0018_fb4d8b5b3050d97e_match_02,v4_lower_control_arm_test_0018_fb4d8b5b3050d97e,lower_control_arm,lower_control_arm,MATCH,MISMATCH
v4_alternator_test_0004_90e7591cbf64678d_match_01,v4_alternator_test_0004_90e7591cbf64678d,alternator,alternator,MATCH,PARTIAL_MATCH
v4_alternator_test_0011_e509ed02d458c18b_match_01,v4_alternator_test_0011_e509ed02d458c18b,alternator,alternator,MATCH,PARTIAL_MATCH
v4_alternator_test_0004_90e7591cbf64678d_match_02,v4_alternator_test_0004_90e7591cbf64678d,alternator,alternator,MATCH,PARTIAL_MATCH
v4_alternator_test_0011_e509ed02d458c18b_match_02,v4_alternator_test_0011_e509ed02d458c18b,alternator,alternator,MATCH,PARTIAL_MATCH
v4_brake_caliper_test_0026_87b412a34bd8b22c_match_01,v4_brake_caliper_test_0026_87b412a34bd8b22c,brake_caliper,brake_caliper,MATCH,MISMATCH
v4_brake_caliper_test_0026_87b412a34bd8b22c_match_02,v4_brake_caliper_test_0026_87b412a34bd8b22c,brake_caliper,brake_caliper,MATCH,MISMATCH
v4_vacuum_brake_booster_test_0002_77d5251cb43ddd4e_match_01,v4_vacuum_brake_booster_test_0002_77d5251cb43ddd4e,vacuum_brake_booster,vacuum_brake_booster,MATCH,MISMATCH
v4_vacuum_brake_booster_test_0002_77d5251cb43ddd4e_match_02,v4_vacuum_brake_booster_test_0002_77d5251cb43ddd4e,vacuum_brake_booster,vacuum_brake_booster,MATCH,MISMATCH
v4_pressure_plate_test_0020_7da153132f9c22a3_match_01,v4_pressure_plate_test_0020_7da153132f9c22a3,pressure_plate,pressure_plate,MATCH,PARTIAL_MATCH
v4_pressure_plate_test_0020_7da153132f9c22a3_match_02,v4_pressure_plate_test_0020_7da153132f9c22a3,pressure_plate,pressure_plate,MATCH,PARTIAL_MATCH
v4_transmission_test_0009_25bf35275d107bd1_match_01,v4_transmission_test_0009_25bf35275d107bd1,transmission,transmission,MATCH,MISMATCH
v4_transmission_test_0009_25bf35275d107bd1_match_02,v4_transmission_test_0009_25bf35275d107bd1,transmission,transmission,MATCH,MISMATCH
v4_transmission_test_0009_25bf35275d107bd1_match_03,v4_transmission_test_0009_25bf35275d107bd1,transmission,transmission,MATCH,MISMATCH
v4_gas_cap_test_0022_b4c77a3293af0625_match_01,v4_gas_cap_test_0022_b4c77a3293af0625,gas_cap,gas_cap,MATCH,MISMATCH
v4_gas_cap_test_0022_b4c77a3293af0625_match_02,v4_gas_cap_test_0022_b4c77a3293af0625,gas_cap,gas_cap,MATCH,MISMATCH
v4_instrument_cluster_test_0002_f52508ae87d1ceca_match_01,v4_instrument_cluster_test_0002_f52508ae87d1ceca,instrument_cluster,instrument_cluster,MATCH,PARTIAL_MATCH
v4_instrument_cluster_test_0002_f52508ae87d1ceca_match_02,v4_instrument_cluster_test_0002_f52508ae87d1ceca,instrument_cluster,instrument_cluster,MATCH,PARTIAL_MATCH
v4_radio_test_0003_68fa61e371750959_match_01,v4_radio_test_0003_68fa61e371750959,radio,radio,MATCH,PARTIAL_MATCH
v4_radio_test_0003_68fa61e371750959_match_02,v4_radio_test_0003_68fa61e371750959,radio,radio,MATCH,PARTIAL_MATCH
v4_oxygen_sensor_test_0022_2d9775ab2b8d35a4_match_01,v4_oxygen_sensor_test_0022_2d9775ab2b8d35a4,oxygen_sensor,oxygen_sensor,MATCH,PARTIAL_MATCH
v4_oxygen_sensor_test_0011_72ff1544c9f911bd_match_01,v4_oxygen_sensor_test_0011_72ff1544c9f911bd,oxygen_sensor,oxygen_sensor,MATCH,PARTIAL_MATCH
v4_oxygen_sensor_test_0027_df9cb5ae34907a2d_match_01,v4_oxygen_sensor_test_0027_df9cb5ae34907a2d,oxygen_sensor,oxygen_sensor,MATCH,PARTIAL_MATCH
v4_oxygen_sensor_test_0022_2d9775ab2b8d35a4_match_02,v4_oxygen_sensor_test_0022_2d9775ab2b8d35a4,oxygen_sensor,oxygen_sensor,MATCH,PARTIAL_MATCH
v4_oxygen_sensor_test_0011_72ff1544c9f911bd_match_02,v4_oxygen_sensor_test_0011_72ff1544c9f911bd,oxygen_sensor,oxygen_sensor,MATCH,PARTIAL_MATCH
v4_oxygen_sensor_test_0027_df9cb5ae34907a2d_match_02,v4_oxygen_sensor_test_0027_df9cb5ae34907a2d,oxygen_sensor,oxygen_sensor,MATCH,PARTIAL_MATCH
v4_taillight_test_0006_2bd58477e4578ad3_match_01,v4_taillight_test_0006_2bd58477e4578ad3,taillight,taillight,MATCH,PARTIAL_MATCH
v4_taillight_test_0007_88c58ce25e33abaa_match_01,v4_taillight_test_0007_88c58ce25e33abaa,taillight,taillight,MATCH,PARTIAL_MATCH
v4_taillight_test_0006_2bd58477e4578ad3_match_02,v4_taillight_test_0006_2bd58477e4578ad3,taillight,taillight,MATCH,PARTIAL_MATCH
v4_taillight_test_0007_88c58ce25e33abaa_match_02,v4_taillight_test_0007_88c58ce25e33abaa,taillight,taillight,MATCH,PARTIAL_MATCH
v4_air_compressor_test_0020_d8de8cdc196b48c6_partial_match_01,v4_air_compressor_test_0020_d8de8cdc196b48c6,air_compressor,overflow_tank,PARTIAL_MATCH,MATCH
v4_air_compressor_test_0008_fe34b63e1e577d4e_partial_match_01,v4_air_compressor_test_0008_fe34b63e1e577d4e,air_compressor,overflow_tank,PARTIAL_MATCH,MISMATCH
v4_air_compressor_test_0020_d8de8cdc196b48c6_partial_match_02,v4_air_compressor_test_0020_d8de8cdc196b48c6,air_compressor,overflow_tank,PARTIAL_MATCH,MATCH
v4_air_compressor_test_0008_fe34b63e1e577d4e_partial_match_02,v4_air_compressor_test_0008_fe34b63e1e577d4e,air_compressor,overflow_tank,PARTIAL_MATCH,MISMATCH
v4_overflow_tank_test_0011_9fbeac08dfb5ae41_partial_match_01,v4_overflow_tank_test_0011_9fbeac08dfb5ae41,overflow_tank,radiator,PARTIAL_MATCH,MISMATCH
v4_overflow_tank_test_0013_bba2eeefcc6f91d0_partial_match_01,v4_overflow_tank_test_0013_bba2eeefcc6f91d0,overflow_tank,radiator,PARTIAL_MATCH,MATCH
v4_overflow_tank_test_0016_e5e8ff330331c45c_partial_match_01,v4_overflow_tank_test_0016_e5e8ff330331c45c,overflow_tank,radiator,PARTIAL_MATCH,MISMATCH
v4_overflow_tank_test_0001_f2804726d76c132b_partial_match_01,v4_overflow_tank_test_0001_f2804726d76c132b,overflow_tank,radiator,PARTIAL_MATCH,MISMATCH
v4_overflow_tank_test_0011_9fbeac08dfb5ae41_partial_match_02,v4_overflow_tank_test_0011_9fbeac08dfb5ae41,overflow_tank,radiator,PARTIAL_MATCH,MISMATCH
v4_overflow_tank_test_0013_bba2eeefcc6f91d0_partial_match_02,v4_overflow_tank_test_0013_bba2eeefcc6f91d0,overflow_tank,radiator,PARTIAL_MATCH,MATCH
v4_overflow_tank_test_0016_e5e8ff330331c45c_partial_match_02,v4_overflow_tank_test_0016_e5e8ff330331c45c,overflow_tank,radiator,PARTIAL_MATCH,MISMATCH
v4_overflow_tank_test_0001_f2804726d76c132b_partial_match_02,v4_overflow_tank_test_0001_f2804726d76c132b,overflow_tank,radiator,PARTIAL_MATCH,MISMATCH
v4_radiator_fan_test_0010_3f1b73580dfc70cd_partial_match_01,v4_radiator_fan_test_0010_3f1b73580dfc70cd,radiator_fan,radiator_hose,PARTIAL_MATCH,MATCH
v4_radiator_fan_test_0010_3f1b73580dfc70cd_partial_match_02,v4_radiator_fan_test_0010_3f1b73580dfc70cd,radiator_fan,radiator_hose,PARTIAL_MATCH,MATCH
v4_radiator_fan_test_0010_3f1b73580dfc70cd_partial_match_03,v4_radiator_fan_test_0010_3f1b73580dfc70cd,radiator_fan,radiator_hose,PARTIAL_MATCH,MATCH
v4_radiator_hose_test_0012_598d4fb9c49ecfe9_partial_match_01,v4_radiator_hose_test_0012_598d4fb9c49ecfe9,radiator_hose,thermostat,PARTIAL_MATCH,MISMATCH
v4_radiator_hose_test_0002_eff92cde10665d5d_partial_match_01,v4_radiator_hose_test_0002_eff92cde10665d5d,radiator_hose,thermostat,PARTIAL_MATCH,MISMATCH
v4_radiator_hose_test_0023_f65e3ca6ff07d9e9_partial_match_01,v4_radiator_hose_test_0023_f65e3ca6ff07d9e9,radiator_hose,thermostat,PARTIAL_MATCH,MATCH
v4_radiator_hose_test_0012_598d4fb9c49ecfe9_partial_match_02,v4_radiator_hose_test_0012_598d4fb9c49ecfe9,radiator_hose,thermostat,PARTIAL_MATCH,MISMATCH
v4_radiator_hose_test_0002_eff92cde10665d5d_partial_match_02,v4_radiator_hose_test_0002_eff92cde10665d5d,radiator_hose,thermostat,PARTIAL_MATCH,MISMATCH
v4_radiator_hose_test_0023_f65e3ca6ff07d9e9_partial_match_02,v4_radiator_hose_test_0023_f65e3ca6ff07d9e9,radiator_hose,thermostat,PARTIAL_MATCH,MATCH
v4_water_pump_test_0025_0231197b5637c5f3_partial_match_01,v4_water_pump_test_0025_0231197b5637c5f3,water_pump,air_compressor,PARTIAL_MATCH,MISMATCH
v4_water_pump_test_0020_24f41fe79a4b3eae_partial_match_01,v4_water_pump_test_0020_24f41fe79a4b3eae,water_pump,air_compressor,PARTIAL_MATCH,MISMATCH
v4_water_pump_test_0025_0231197b5637c5f3_partial_match_02,v4_water_pump_test_0025_0231197b5637c5f3,water_pump,air_compressor,PARTIAL_MATCH,MISMATCH
v4_water_pump_test_0020_24f41fe79a4b3eae_partial_match_02,v4_water_pump_test_0020_24f41fe79a4b3eae,water_pump,air_compressor,PARTIAL_MATCH,MISMATCH
v4_water_pump_test_0025_0231197b5637c5f3_partial_match_03,v4_water_pump_test_0025_0231197b5637c5f3,water_pump,air_compressor,PARTIAL_MATCH,MISMATCH
v4_camshaft_test_0002_138fa7670cafff91_partial_match_01,v4_camshaft_test_0002_138fa7670cafff91,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_camshaft_test_0003_4d11de9350efa1d8_partial_match_01,v4_camshaft_test_0003_4d11de9350efa1d8,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_camshaft_test_0006_7cbcd712700e92d6_partial_match_01,v4_camshaft_test_0006_7cbcd712700e92d6,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_camshaft_test_0004_a65f5e71e1c3aa46_partial_match_01,v4_camshaft_test_0004_a65f5e71e1c3aa46,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_camshaft_test_0014_fbf3ed5cc2027102_partial_match_01,v4_camshaft_test_0014_fbf3ed5cc2027102,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_camshaft_test_0002_138fa7670cafff91_partial_match_02,v4_camshaft_test_0002_138fa7670cafff91,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_camshaft_test_0003_4d11de9350efa1d8_partial_match_02,v4_camshaft_test_0003_4d11de9350efa1d8,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_camshaft_test_0006_7cbcd712700e92d6_partial_match_02,v4_camshaft_test_0006_7cbcd712700e92d6,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_camshaft_test_0004_a65f5e71e1c3aa46_partial_match_02,v4_camshaft_test_0004_a65f5e71e1c3aa46,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_camshaft_test_0014_fbf3ed5cc2027102_partial_match_02,v4_camshaft_test_0014_fbf3ed5cc2027102,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_camshaft_test_0002_138fa7670cafff91_partial_match_03,v4_camshaft_test_0002_138fa7670cafff91,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_camshaft_test_0003_4d11de9350efa1d8_partial_match_03,v4_camshaft_test_0003_4d11de9350efa1d8,camshaft,crankshaft,PARTIAL_MATCH,MATCH
v4_cylinder_head_test_0019_8351547d0615526f_partial_match_01,v4_cylinder_head_test_0019_8351547d0615526f,cylinder_head,engine_block,PARTIAL_MATCH,MATCH
v4_cylinder_head_test_0014_e99bc3b7dd6c4183_partial_match_01,v4_cylinder_head_test_0014_e99bc3b7dd6c4183,cylinder_head,engine_block,PARTIAL_MATCH,MATCH
v4_cylinder_head_test_0008_eed0e62a90e8a9b4_partial_match_01,v4_cylinder_head_test_0008_eed0e62a90e8a9b4,cylinder_head,engine_block,PARTIAL_MATCH,MATCH
v4_cylinder_head_test_0019_8351547d0615526f_partial_match_02,v4_cylinder_head_test_0019_8351547d0615526f,cylinder_head,engine_block,PARTIAL_MATCH,MATCH
v4_cylinder_head_test_0014_e99bc3b7dd6c4183_partial_match_02,v4_cylinder_head_test_0014_e99bc3b7dd6c4183,cylinder_head,engine_block,PARTIAL_MATCH,MATCH
v4_cylinder_head_test_0008_eed0e62a90e8a9b4_partial_match_02,v4_cylinder_head_test_0008_eed0e62a90e8a9b4,cylinder_head,engine_block,PARTIAL_MATCH,MATCH
v4_piston_test_0003_041cc1654e5b5838_partial_match_01,v4_piston_test_0003_041cc1654e5b5838,piston,valve_lifter,PARTIAL_MATCH,MATCH
v4_piston_test_0007_15df21569a1140ab_partial_match_01,v4_piston_test_0007_15df21569a1140ab,piston,valve_lifter,PARTIAL_MATCH,MATCH
v4_piston_test_0010_d844ebfd6113f252_partial_match_01,v4_piston_test_0010_d844ebfd6113f252,piston,valve_lifter,PARTIAL_MATCH,MATCH
v4_piston_test_0003_041cc1654e5b5838_partial_match_02,v4_piston_test_0003_041cc1654e5b5838,piston,valve_lifter,PARTIAL_MATCH,MATCH
v4_piston_test_0007_15df21569a1140ab_partial_match_02,v4_piston_test_0007_15df21569a1140ab,piston,valve_lifter,PARTIAL_MATCH,MATCH
v4_piston_test_0010_d844ebfd6113f252_partial_match_02,v4_piston_test_0010_d844ebfd6113f252,piston,valve_lifter,PARTIAL_MATCH,MATCH
v4_piston_test_0003_041cc1654e5b5838_partial_match_03,v4_piston_test_0003_041cc1654e5b5838,piston,valve_lifter,PARTIAL_MATCH,MATCH
v4_piston_test_0007_15df21569a1140ab_partial_match_03,v4_piston_test_0007_15df21569a1140ab,piston,valve_lifter,PARTIAL_MATCH,MATCH
v4_piston_test_0010_d844ebfd6113f252_partial_match_03,v4_piston_test_0010_d844ebfd6113f252,piston,valve_lifter,PARTIAL_MATCH,MATCH
v4_piston_test_0003_041cc1654e5b5838_partial_match_04,v4_piston_test_0003_041cc1654e5b5838,piston,valve_lifter,PARTIAL_MATCH,MATCH
v4_piston_test_0007_15df21569a1140ab_partial_match_04,v4_piston_test_0007_15df21569a1140ab,piston,valve_lifter,PARTIAL_MATCH,MATCH
v4_carburetor_test_0030_1b53e9a079402220_partial_match_01,v4_carburetor_test_0030_1b53e9a079402220,carburetor,distributor,PARTIAL_MATCH,MATCH
v4_carburetor_test_0030_1b53e9a079402220_partial_match_02,v4_carburetor_test_0030_1b53e9a079402220,carburetor,distributor,PARTIAL_MATCH,MATCH
v4_carburetor_test_0030_1b53e9a079402220_partial_match_03,v4_carburetor_test_0030_1b53e9a079402220,carburetor,distributor,PARTIAL_MATCH,MATCH
v4_distributor_test_0010_8bd4949b175869f6_partial_match_01,v4_distributor_test_0010_8bd4949b175869f6,distributor,fuel_injector,PARTIAL_MATCH,MATCH
v4_distributor_test_0024_d7b300768a156cf9_partial_match_01,v4_distributor_test_0024_d7b300768a156cf9,distributor,fuel_injector,PARTIAL_MATCH,MATCH
v4_distributor_test_0019_dcb1478876e534ba_partial_match_01,v4_distributor_test_0019_dcb1478876e534ba,distributor,fuel_injector,PARTIAL_MATCH,MISMATCH
v4_distributor_test_0010_8bd4949b175869f6_partial_match_02,v4_distributor_test_0010_8bd4949b175869f6,distributor,fuel_injector,PARTIAL_MATCH,MATCH
v4_distributor_test_0024_d7b300768a156cf9_partial_match_02,v4_distributor_test_0024_d7b300768a156cf9,distributor,fuel_injector,PARTIAL_MATCH,MATCH
v4_distributor_test_0019_dcb1478876e534ba_partial_match_02,v4_distributor_test_0019_dcb1478876e534ba,distributor,fuel_injector,PARTIAL_MATCH,MISMATCH
v4_distributor_test_0010_8bd4949b175869f6_partial_match_03,v4_distributor_test_0010_8bd4949b175869f6,distributor,fuel_injector,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb_partial_match_01,v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0009_351168be51bfd692_partial_match_01,v4_fuel_injector_test_0009_351168be51bfd692,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0002_376d23df9cbfaae7_partial_match_01,v4_fuel_injector_test_0002_376d23df9cbfaae7,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0012_6a276ccc7f5d093d_partial_match_01,v4_fuel_injector_test_0012_6a276ccc7f5d093d,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0023_97a1b0428f1e3081_partial_match_01,v4_fuel_injector_test_0023_97a1b0428f1e3081,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0024_ca386f04f34848d1_partial_match_01,v4_fuel_injector_test_0024_ca386f04f34848d1,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0007_d44c32b54bb0afab_partial_match_01,v4_fuel_injector_test_0007_d44c32b54bb0afab,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0010_f413d22b6624c72c_partial_match_01,v4_fuel_injector_test_0010_f413d22b6624c72c,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0011_f4bcc7099e7f3571_partial_match_01,v4_fuel_injector_test_0011_f4bcc7099e7f3571,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb_partial_match_02,v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0009_351168be51bfd692_partial_match_02,v4_fuel_injector_test_0009_351168be51bfd692,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0002_376d23df9cbfaae7_partial_match_02,v4_fuel_injector_test_0002_376d23df9cbfaae7,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0012_6a276ccc7f5d093d_partial_match_02,v4_fuel_injector_test_0012_6a276ccc7f5d093d,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0023_97a1b0428f1e3081_partial_match_02,v4_fuel_injector_test_0023_97a1b0428f1e3081,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0024_ca386f04f34848d1_partial_match_02,v4_fuel_injector_test_0024_ca386f04f34848d1,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0007_d44c32b54bb0afab_partial_match_02,v4_fuel_injector_test_0007_d44c32b54bb0afab,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0010_f413d22b6624c72c_partial_match_02,v4_fuel_injector_test_0010_f413d22b6624c72c,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0011_f4bcc7099e7f3571_partial_match_02,v4_fuel_injector_test_0011_f4bcc7099e7f3571,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb_partial_match_03,v4_fuel_injector_test_0005_2f2a9ce1d8fde0cb,fuel_injector,ignition_coil,PARTIAL_MATCH,MATCH
v4_idler_arm_test_0031_a8eca5413c30bd72_partial_match_01,v4_idler_arm_test_0031_a8eca5413c30bd72,idler_arm,leaf_spring,PARTIAL_MATCH,MATCH
v4_idler_arm_test_0031_a8eca5413c30bd72_partial_match_02,v4_idler_arm_test_0031_a8eca5413c30bd72,idler_arm,leaf_spring,PARTIAL_MATCH,MATCH
v4_leaf_spring_test_0009_00d85ce0dfbc238a_partial_match_01,v4_leaf_spring_test_0009_00d85ce0dfbc238a,leaf_spring,lower_control_arm,PARTIAL_MATCH,MATCH
