sample_id,image_id,image_path,part_category,part_family,text_category,text_family,description,text_mode,label,source
external_v1_alternator_05_1580f7bb67e9__clean__partial_match,external_v1_alternator_05_1580f7bb67e9,external_audit/images/alternator/external_v1_1_alternator_05.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,This automotive part is a starter.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_05_1580f7bb67e9__natural__match,external_v1_alternator_05_1580f7bb67e9,external_audit/images/alternator/external_v1_1_alternator_05.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,I need an alternator for the charging system.,natural,MATCH,external_audit_v1
external_v1_alternator_05_1580f7bb67e9__natural__mismatch,external_v1_alternator_05_1580f7bb67e9,external_audit/images/alternator/external_v1_1_alternator_05.jpg,alternator,electrical_starting_charging,headlight,lighting,I need a front headlamp.,natural,MISMATCH,external_audit_v1
external_v1_alternator_05_1580f7bb67e9__natural__partial_match,external_v1_alternator_05_1580f7bb67e9,external_audit/images/alternator/external_v1_1_alternator_05.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,I need a starter motor for the car.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_06_2763d44ba675__clean__match,external_v1_alternator_06_2763d44ba675,external_audit/images/alternator/external_v1_1_alternator_06.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,This automotive part is an alternator.,clean,MATCH,external_audit_v1
external_v1_alternator_06_2763d44ba675__clean__mismatch,external_v1_alternator_06_2763d44ba675,external_audit/images/alternator/external_v1_1_alternator_06.jpg,alternator,electrical_starting_charging,headlight,lighting,This automotive part is a headlight.,clean,MISMATCH,external_audit_v1
external_v1_alternator_06_2763d44ba675__clean__partial_match,external_v1_alternator_06_2763d44ba675,external_audit/images/alternator/external_v1_1_alternator_06.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,This automotive part is a starter.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_06_2763d44ba675__natural__match,external_v1_alternator_06_2763d44ba675,external_audit/images/alternator/external_v1_1_alternator_06.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,I need an alternator for the charging system.,natural,MATCH,external_audit_v1
external_v1_alternator_06_2763d44ba675__natural__mismatch,external_v1_alternator_06_2763d44ba675,external_audit/images/alternator/external_v1_1_alternator_06.jpg,alternator,electrical_starting_charging,headlight,lighting,I need a front headlamp.,natural,MISMATCH,external_audit_v1
external_v1_alternator_06_2763d44ba675__natural__partial_match,external_v1_alternator_06_2763d44ba675,external_audit/images/alternator/external_v1_1_alternator_06.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,I need a starter motor for the car.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_07_273fe98d6874__clean__match,external_v1_alternator_07_273fe98d6874,external_audit/images/alternator/external_v1_1_alternator_07.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,This automotive part is an alternator.,clean,MATCH,external_audit_v1
external_v1_alternator_07_273fe98d6874__clean__mismatch,external_v1_alternator_07_273fe98d6874,external_audit/images/alternator/external_v1_1_alternator_07.jpg,alternator,electrical_starting_charging,headlight,lighting,This automotive part is a headlight.,clean,MISMATCH,external_audit_v1
external_v1_alternator_07_273fe98d6874__clean__partial_match,external_v1_alternator_07_273fe98d6874,external_audit/images/alternator/external_v1_1_alternator_07.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,This automotive part is a starter.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_07_273fe98d6874__natural__match,external_v1_alternator_07_273fe98d6874,external_audit/images/alternator/external_v1_1_alternator_07.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,I need an alternator for the charging system.,natural,MATCH,external_audit_v1
external_v1_alternator_07_273fe98d6874__natural__mismatch,external_v1_alternator_07_273fe98d6874,external_audit/images/alternator/external_v1_1_alternator_07.jpg,alternator,electrical_starting_charging,headlight,lighting,I need a front headlamp.,natural,MISMATCH,external_audit_v1
external_v1_alternator_07_273fe98d6874__natural__partial_match,external_v1_alternator_07_273fe98d6874,external_audit/images/alternator/external_v1_1_alternator_07.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,I need a starter motor for the car.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_08_c2429694e4c0__clean__match,external_v1_alternator_08_c2429694e4c0,external_audit/images/alternator/external_v1_1_alternator_08.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,This automotive part is an alternator.,clean,MATCH,external_audit_v1
external_v1_alternator_08_c2429694e4c0__clean__mismatch,external_v1_alternator_08_c2429694e4c0,external_audit/images/alternator/external_v1_1_alternator_08.jpg,alternator,electrical_starting_charging,headlight,lighting,This automotive part is a headlight.,clean,MISMATCH,external_audit_v1
external_v1_alternator_08_c2429694e4c0__clean__partial_match,external_v1_alternator_08_c2429694e4c0,external_audit/images/alternator/external_v1_1_alternator_08.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,This automotive part is a starter.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_08_c2429694e4c0__natural__match,external_v1_alternator_08_c2429694e4c0,external_audit/images/alternator/external_v1_1_alternator_08.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,I need an alternator for the charging system.,natural,MATCH,external_audit_v1
external_v1_alternator_08_c2429694e4c0__natural__mismatch,external_v1_alternator_08_c2429694e4c0,external_audit/images/alternator/external_v1_1_alternator_08.jpg,alternator,electrical_starting_charging,headlight,lighting,I need a front headlamp.,natural,MISMATCH,external_audit_v1
external_v1_alternator_08_c2429694e4c0__natural__partial_match,external_v1_alternator_08_c2429694e4c0,external_audit/images/alternator/external_v1_1_alternator_08.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,I need a starter motor for the car.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_09_8717db8608f5__clean__match,external_v1_alternator_09_8717db8608f5,external_audit/images/alternator/external_v1_1_alternator_09.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,This automotive part is an alternator.,clean,MATCH,external_audit_v1
external_v1_alternator_09_8717db8608f5__clean__mismatch,external_v1_alternator_09_8717db8608f5,external_audit/images/alternator/external_v1_1_alternator_09.jpg,alternator,electrical_starting_charging,headlight,lighting,This automotive part is a headlight.,clean,MISMATCH,external_audit_v1
external_v1_alternator_09_8717db8608f5__clean__partial_match,external_v1_alternator_09_8717db8608f5,external_audit/images/alternator/external_v1_1_alternator_09.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,This automotive part is a starter.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_09_8717db8608f5__natural__match,external_v1_alternator_09_8717db8608f5,external_audit/images/alternator/external_v1_1_alternator_09.jpg,alternator,electrical_starting_charging,alternator,electrical_starting_charging,I need an alternator for the charging system.,natural,MATCH,external_audit_v1
external_v1_alternator_09_8717db8608f5__natural__mismatch,external_v1_alternator_09_8717db8608f5,external_audit/images/alternator/external_v1_1_alternator_09.jpg,alternator,electrical_starting_charging,headlight,lighting,I need a front headlamp.,natural,MISMATCH,external_audit_v1
external_v1_alternator_09_8717db8608f5__natural__partial_match,external_v1_alternator_09_8717db8608f5,external_audit/images/alternator/external_v1_1_alternator_09.jpg,alternator,electrical_starting_charging,starter,electrical_starting_charging,I need a starter motor for the car.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_10_9fb8a04100ee__clean__match,external_v1_alternator_10_9fb8a04100ee,external_audit/images/alternator/external_v1_1_alternator_10.png,alternator,electrical_starting_charging,alternator,electrical_starting_charging,This automotive part is an alternator.,clean,MATCH,external_audit_v1
external_v1_alternator_10_9fb8a04100ee__clean__mismatch,external_v1_alternator_10_9fb8a04100ee,external_audit/images/alternator/external_v1_1_alternator_10.png,alternator,electrical_starting_charging,headlight,lighting,This automotive part is a headlight.,clean,MISMATCH,external_audit_v1
external_v1_alternator_10_9fb8a04100ee__clean__partial_match,external_v1_alternator_10_9fb8a04100ee,external_audit/images/alternator/external_v1_1_alternator_10.png,alternator,electrical_starting_charging,starter,electrical_starting_charging,This automotive part is a starter.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_alternator_10_9fb8a04100ee__natural__match,external_v1_alternator_10_9fb8a04100ee,external_audit/images/alternator/external_v1_1_alternator_10.png,alternator,electrical_starting_charging,alternator,electrical_starting_charging,I need an alternator for the charging system.,natural,MATCH,external_audit_v1
external_v1_alternator_10_9fb8a04100ee__natural__mismatch,external_v1_alternator_10_9fb8a04100ee,external_audit/images/alternator/external_v1_1_alternator_10.png,alternator,electrical_starting_charging,headlight,lighting,I need a front headlamp.,natural,MISMATCH,external_audit_v1
external_v1_alternator_10_9fb8a04100ee__natural__partial_match,external_v1_alternator_10_9fb8a04100ee,external_audit/images/alternator/external_v1_1_alternator_10.png,alternator,electrical_starting_charging,starter,electrical_starting_charging,I need a starter motor for the car.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_01_ebb53b0664ff__clean__match,external_v1_headlight_01_ebb53b0664ff,external_audit/images/headlight/external_v1_1_headlight_01.jpg,headlight,lighting,headlight,lighting,This automotive part is a headlight.,clean,MATCH,external_audit_v1
external_v1_headlight_01_ebb53b0664ff__clean__mismatch,external_v1_headlight_01_ebb53b0664ff,external_audit/images/headlight/external_v1_1_headlight_01.jpg,headlight,lighting,spark_plug,ignition_and_fuel,This automotive part is a spark plug.,clean,MISMATCH,external_audit_v1
external_v1_headlight_01_ebb53b0664ff__clean__partial_match,external_v1_headlight_01_ebb53b0664ff,external_audit/images/headlight/external_v1_1_headlight_01.jpg,headlight,lighting,taillight,lighting,This automotive part is a taillight.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_01_ebb53b0664ff__natural__match,external_v1_headlight_01_ebb53b0664ff,external_audit/images/headlight/external_v1_1_headlight_01.jpg,headlight,lighting,headlight,lighting,I need a front headlamp.,natural,MATCH,external_audit_v1
external_v1_headlight_01_ebb53b0664ff__natural__mismatch,external_v1_headlight_01_ebb53b0664ff,external_audit/images/headlight/external_v1_1_headlight_01.jpg,headlight,lighting,spark_plug,ignition_and_fuel,I need spark plugs for the engine.,natural,MISMATCH,external_audit_v1
external_v1_headlight_01_ebb53b0664ff__natural__partial_match,external_v1_headlight_01_ebb53b0664ff,external_audit/images/headlight/external_v1_1_headlight_01.jpg,headlight,lighting,taillight,lighting,I need a rear tail lamp.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_02_8f6f5e258146__clean__match,external_v1_headlight_02_8f6f5e258146,external_audit/images/headlight/external_v1_1_headlight_02.jpg,headlight,lighting,headlight,lighting,This automotive part is a headlight.,clean,MATCH,external_audit_v1
external_v1_headlight_02_8f6f5e258146__clean__mismatch,external_v1_headlight_02_8f6f5e258146,external_audit/images/headlight/external_v1_1_headlight_02.jpg,headlight,lighting,spark_plug,ignition_and_fuel,This automotive part is a spark plug.,clean,MISMATCH,external_audit_v1
external_v1_headlight_02_8f6f5e258146__clean__partial_match,external_v1_headlight_02_8f6f5e258146,external_audit/images/headlight/external_v1_1_headlight_02.jpg,headlight,lighting,taillight,lighting,This automotive part is a taillight.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_02_8f6f5e258146__natural__match,external_v1_headlight_02_8f6f5e258146,external_audit/images/headlight/external_v1_1_headlight_02.jpg,headlight,lighting,headlight,lighting,I need a front headlamp.,natural,MATCH,external_audit_v1
external_v1_headlight_02_8f6f5e258146__natural__mismatch,external_v1_headlight_02_8f6f5e258146,external_audit/images/headlight/external_v1_1_headlight_02.jpg,headlight,lighting,spark_plug,ignition_and_fuel,I need spark plugs for the engine.,natural,MISMATCH,external_audit_v1
external_v1_headlight_02_8f6f5e258146__natural__partial_match,external_v1_headlight_02_8f6f5e258146,external_audit/images/headlight/external_v1_1_headlight_02.jpg,headlight,lighting,taillight,lighting,I need a rear tail lamp.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_03_349988cab9ad__clean__match,external_v1_headlight_03_349988cab9ad,external_audit/images/headlight/external_v1_1_headlight_03.jpg,headlight,lighting,headlight,lighting,This automotive part is a headlight.,clean,MATCH,external_audit_v1
external_v1_headlight_03_349988cab9ad__clean__mismatch,external_v1_headlight_03_349988cab9ad,external_audit/images/headlight/external_v1_1_headlight_03.jpg,headlight,lighting,spark_plug,ignition_and_fuel,This automotive part is a spark plug.,clean,MISMATCH,external_audit_v1
external_v1_headlight_03_349988cab9ad__clean__partial_match,external_v1_headlight_03_349988cab9ad,external_audit/images/headlight/external_v1_1_headlight_03.jpg,headlight,lighting,taillight,lighting,This automotive part is a taillight.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_03_349988cab9ad__natural__match,external_v1_headlight_03_349988cab9ad,external_audit/images/headlight/external_v1_1_headlight_03.jpg,headlight,lighting,headlight,lighting,I need a front headlamp.,natural,MATCH,external_audit_v1
external_v1_headlight_03_349988cab9ad__natural__mismatch,external_v1_headlight_03_349988cab9ad,external_audit/images/headlight/external_v1_1_headlight_03.jpg,headlight,lighting,spark_plug,ignition_and_fuel,I need spark plugs for the engine.,natural,MISMATCH,external_audit_v1
external_v1_headlight_03_349988cab9ad__natural__partial_match,external_v1_headlight_03_349988cab9ad,external_audit/images/headlight/external_v1_1_headlight_03.jpg,headlight,lighting,taillight,lighting,I need a rear tail lamp.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_04_5ff8bf0f5126__clean__match,external_v1_headlight_04_5ff8bf0f5126,external_audit/images/headlight/external_v1_1_headlight_04.jpg,headlight,lighting,headlight,lighting,This automotive part is a headlight.,clean,MATCH,external_audit_v1
external_v1_headlight_04_5ff8bf0f5126__clean__mismatch,external_v1_headlight_04_5ff8bf0f5126,external_audit/images/headlight/external_v1_1_headlight_04.jpg,headlight,lighting,spark_plug,ignition_and_fuel,This automotive part is a spark plug.,clean,MISMATCH,external_audit_v1
external_v1_headlight_04_5ff8bf0f5126__clean__partial_match,external_v1_headlight_04_5ff8bf0f5126,external_audit/images/headlight/external_v1_1_headlight_04.jpg,headlight,lighting,taillight,lighting,This automotive part is a taillight.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_04_5ff8bf0f5126__natural__match,external_v1_headlight_04_5ff8bf0f5126,external_audit/images/headlight/external_v1_1_headlight_04.jpg,headlight,lighting,headlight,lighting,I need a front headlamp.,natural,MATCH,external_audit_v1
external_v1_headlight_04_5ff8bf0f5126__natural__mismatch,external_v1_headlight_04_5ff8bf0f5126,external_audit/images/headlight/external_v1_1_headlight_04.jpg,headlight,lighting,spark_plug,ignition_and_fuel,I need spark plugs for the engine.,natural,MISMATCH,external_audit_v1
external_v1_headlight_04_5ff8bf0f5126__natural__partial_match,external_v1_headlight_04_5ff8bf0f5126,external_audit/images/headlight/external_v1_1_headlight_04.jpg,headlight,lighting,taillight,lighting,I need a rear tail lamp.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_05_67e354db9f44__clean__match,external_v1_headlight_05_67e354db9f44,external_audit/images/headlight/external_v1_1_headlight_05.jpg,headlight,lighting,headlight,lighting,This automotive part is a headlight.,clean,MATCH,external_audit_v1
external_v1_headlight_05_67e354db9f44__clean__mismatch,external_v1_headlight_05_67e354db9f44,external_audit/images/headlight/external_v1_1_headlight_05.jpg,headlight,lighting,spark_plug,ignition_and_fuel,This automotive part is a spark plug.,clean,MISMATCH,external_audit_v1
external_v1_headlight_05_67e354db9f44__clean__partial_match,external_v1_headlight_05_67e354db9f44,external_audit/images/headlight/external_v1_1_headlight_05.jpg,headlight,lighting,taillight,lighting,This automotive part is a taillight.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_05_67e354db9f44__natural__match,external_v1_headlight_05_67e354db9f44,external_audit/images/headlight/external_v1_1_headlight_05.jpg,headlight,lighting,headlight,lighting,I need a front headlamp.,natural,MATCH,external_audit_v1
external_v1_headlight_05_67e354db9f44__natural__mismatch,external_v1_headlight_05_67e354db9f44,external_audit/images/headlight/external_v1_1_headlight_05.jpg,headlight,lighting,spark_plug,ignition_and_fuel,I need spark plugs for the engine.,natural,MISMATCH,external_audit_v1
external_v1_headlight_05_67e354db9f44__natural__partial_match,external_v1_headlight_05_67e354db9f44,external_audit/images/headlight/external_v1_1_headlight_05.jpg,headlight,lighting,taillight,lighting,I need a rear tail lamp.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_06_25c92851d2f2__clean__match,external_v1_headlight_06_25c92851d2f2,external_audit/images/headlight/external_v1_1_headlight_06.jpg,headlight,lighting,headlight,lighting,This automotive part is a headlight.,clean,MATCH,external_audit_v1
external_v1_headlight_06_25c92851d2f2__clean__mismatch,external_v1_headlight_06_25c92851d2f2,external_audit/images/headlight/external_v1_1_headlight_06.jpg,headlight,lighting,spark_plug,ignition_and_fuel,This automotive part is a spark plug.,clean,MISMATCH,external_audit_v1
external_v1_headlight_06_25c92851d2f2__clean__partial_match,external_v1_headlight_06_25c92851d2f2,external_audit/images/headlight/external_v1_1_headlight_06.jpg,headlight,lighting,taillight,lighting,This automotive part is a taillight.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_06_25c92851d2f2__natural__match,external_v1_headlight_06_25c92851d2f2,external_audit/images/headlight/external_v1_1_headlight_06.jpg,headlight,lighting,headlight,lighting,I need a front headlamp.,natural,MATCH,external_audit_v1
external_v1_headlight_06_25c92851d2f2__natural__mismatch,external_v1_headlight_06_25c92851d2f2,external_audit/images/headlight/external_v1_1_headlight_06.jpg,headlight,lighting,spark_plug,ignition_and_fuel,I need spark plugs for the engine.,natural,MISMATCH,external_audit_v1
external_v1_headlight_06_25c92851d2f2__natural__partial_match,external_v1_headlight_06_25c92851d2f2,external_audit/images/headlight/external_v1_1_headlight_06.jpg,headlight,lighting,taillight,lighting,I need a rear tail lamp.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_07_77adc5fcb3da__clean__match,external_v1_headlight_07_77adc5fcb3da,external_audit/images/headlight/external_v1_1_headlight_07.jpg,headlight,lighting,headlight,lighting,This automotive part is a headlight.,clean,MATCH,external_audit_v1
external_v1_headlight_07_77adc5fcb3da__clean__mismatch,external_v1_headlight_07_77adc5fcb3da,external_audit/images/headlight/external_v1_1_headlight_07.jpg,headlight,lighting,spark_plug,ignition_and_fuel,This automotive part is a spark plug.,clean,MISMATCH,external_audit_v1
external_v1_headlight_07_77adc5fcb3da__clean__partial_match,external_v1_headlight_07_77adc5fcb3da,external_audit/images/headlight/external_v1_1_headlight_07.jpg,headlight,lighting,taillight,lighting,This automotive part is a taillight.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_07_77adc5fcb3da__natural__match,external_v1_headlight_07_77adc5fcb3da,external_audit/images/headlight/external_v1_1_headlight_07.jpg,headlight,lighting,headlight,lighting,I need a front headlamp.,natural,MATCH,external_audit_v1
external_v1_headlight_07_77adc5fcb3da__natural__mismatch,external_v1_headlight_07_77adc5fcb3da,external_audit/images/headlight/external_v1_1_headlight_07.jpg,headlight,lighting,spark_plug,ignition_and_fuel,I need spark plugs for the engine.,natural,MISMATCH,external_audit_v1
external_v1_headlight_07_77adc5fcb3da__natural__partial_match,external_v1_headlight_07_77adc5fcb3da,external_audit/images/headlight/external_v1_1_headlight_07.jpg,headlight,lighting,taillight,lighting,I need a rear tail lamp.,natural,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_08_4590298480bf__clean__match,external_v1_headlight_08_4590298480bf,external_audit/images/headlight/external_v1_1_headlight_08.jpg,headlight,lighting,headlight,lighting,This automotive part is a headlight.,clean,MATCH,external_audit_v1
external_v1_headlight_08_4590298480bf__clean__mismatch,external_v1_headlight_08_4590298480bf,external_audit/images/headlight/external_v1_1_headlight_08.jpg,headlight,lighting,spark_plug,ignition_and_fuel,This automotive part is a spark plug.,clean,MISMATCH,external_audit_v1
external_v1_headlight_08_4590298480bf__clean__partial_match,external_v1_headlight_08_4590298480bf,external_audit/images/headlight/external_v1_1_headlight_08.jpg,headlight,lighting,taillight,lighting,This automotive part is a taillight.,clean,PARTIAL_MATCH,external_audit_v1
external_v1_headlight_08_4590298480bf__natural__match,external_v1_headlight_08_4590298480bf,external_audit/images/headlight/external_v1_1_headlight_08.jpg,headlight,lighting,headlight,lighting,I need a front headlamp.,natural,MATCH,external_audit_v1
external_v1_headlight_08_4590298480bf__natural__mismatch,external_v1_headlight_08_4590298480bf,external_audit/images/headlight/external_v1_1_headlight_08.jpg,headlight,lighting,spark_plug,ignition_and_fuel,I need spark plugs for the engine.,natural,MISMATCH,external_audit_v1
external_v1_headlight_08_4590298480bf__natural__partial_match,external_v1_headlight_08_4590298480bf,external_audit/images/headlight/external_v1_1_headlight_08.jpg,headlight,lighting,taillight,lighting,I need a rear tail lamp.,natural,PARTIAL_MATCH,external_audit_v1
