image_id,part_category,part_family,image_path,sha256,width,height,mode,source_type
external_v1_ignition_coil_05_a2e07d1727a5,ignition_coil,ignition_and_fuel,external_audit/images/ignition_coil/external_v1_1_ignition_coil_05.jpg,a2e07d1727a5e18afb24caa6f8a47abd81f3e8df7a436cd05ff00cdf65d47c43,1280,1970,RGB,wikimedia_commons
external_v1_ignition_coil_06_9f53a4209f9f,ignition_coil,ignition_and_fuel,external_audit/images/ignition_coil/external_v1_1_ignition_coil_06.jpg,9f53a4209f9fd6e6bfe0acfa27219ff4355f7c40738eeb14aa1e38dc2a8c16e8,1280,874,RGB,wikimedia_commons
external_v1_ignition_coil_07_08001491e58d,ignition_coil,ignition_and_fuel,external_audit/images/ignition_coil/external_v1_1_ignition_coil_07.jpg,08001491e58d61860cdbb0355e3d3cd83e3801f9643d302b44353a9d49550565,541,562,RGB,wikimedia_commons
external_v1_ignition_coil_08_60aa92b5c831,ignition_coil,ignition_and_fuel,external_audit/images/ignition_coil/external_v1_1_ignition_coil_08.png,60aa92b5c831a0de3eb0790d5acd8f2121a7c71a1fe34e6ee254163f06f3de55,514,428,P,wikimedia_commons
external_v1_ignition_coil_09_86315949986b,ignition_coil,ignition_and_fuel,external_audit/images/ignition_coil/external_v1_1_ignition_coil_09.jpg,86315949986b91fe1ddbf2fdb69a35188460e913e5fc812792cd7ed30775937b,1280,720,RGB,wikimedia_commons
external_v1_ignition_coil_10_4b88418cb46e,ignition_coil,ignition_and_fuel,external_audit/images/ignition_coil/external_v1_1_ignition_coil_10.jpg,4b88418cb46ef92a0f741fc517f91f4939f43e0d0d89a235305cf240dbfd4ff9,1280,1707,RGB,wikimedia_commons
external_v1_spark_plug_01_157e16ee22ae,spark_plug,ignition_and_fuel,external_audit/images/spark_plug/external_v1_1_spark_plug_01.jpg,157e16ee22ae1e6baee867a6ecd546b0c37bef6f8920559236b53407e6f9f736,768,1024,RGB,wikimedia_commons
external_v1_spark_plug_02_c98f0d1f3a74,spark_plug,ignition_and_fuel,external_audit/images/spark_plug/external_v1_1_spark_plug_02.jpg,c98f0d1f3a7446bc33acb538098bf5885da79f0d5447c5206736a57bce3f5a0e,1055,1079,RGB,wikimedia_commons
external_v1_spark_plug_03_1d9631b0cff2,spark_plug,ignition_and_fuel,external_audit/images/spark_plug/external_v1_1_spark_plug_03.jpg,1d9631b0cff28d8c7e2c1e5b2fa67d78009e6c642c4129caf109154f93538696,480,358,RGB,wikimedia_commons
external_v1_spark_plug_04_52d98448c3b2,spark_plug,ignition_and_fuel,external_audit/images/spark_plug/external_v1_1_spark_plug_04.jpg,52d98448c3b200d72999e3ce83feff6a499e6c15d4170ebc91ab864815538fd0,640,480,RGB,wikimedia_commons
external_v1_spark_plug_05_8dc1713e9b07,spark_plug,ignition_and_fuel,external_audit/images/spark_plug/external_v1_1_spark_plug_05.jpg,8dc1713e9b07fe27b80edf7ea1476b84f09448f58b96d63e3d95ff6c3af7cdd6,800,800,RGB,wikimedia_commons
external_v1_spark_plug_06_ddd09e50252d,spark_plug,ignition_and_fuel,external_audit/images/spark_plug/external_v1_1_spark_plug_06.jpg,ddd09e50252df4795167fce58ed8696a9c892e43a92a2b93c5168df7f4736c5a,1280,965,RGB,wikimedia_commons
external_v1_spark_plug_07_0a5a3ad8aa41,spark_plug,ignition_and_fuel,external_audit/images/spark_plug/external_v1_1_spark_plug_07.jpg,0a5a3ad8aa4155fac8c0c54594d98d72b7e5ffef9cb77e2b913590880d9ae0ed,1280,823,RGB,wikimedia_commons
external_v1_spark_plug_08_6e9a09ceb862,spark_plug,ignition_and_fuel,external_audit/images/spark_plug/external_v1_1_spark_plug_08.jpg,6e9a09ceb86226178edcc53cd598936eb7d870a77b1a17fbc87d0a2768229926,1280,857,RGB,wikimedia_commons
external_v1_spark_plug_09_b7458f7e3ed4,spark_plug,ignition_and_fuel,external_audit/images/spark_plug/external_v1_1_spark_plug_09.jpg,b7458f7e3ed42e040f557ea29e5543f54d4d2bf4254e129b28e7b68e8d5867e9,1024,768,RGB,wikimedia_commons
external_v1_spark_plug_10_34217f5022c9,spark_plug,ignition_and_fuel,external_audit/images/spark_plug/external_v1_1_spark_plug_10.jpg,34217f5022c9e83007e3eb6c017c8b7d6c5c5c160a34c4e386d77334d80cd3b7,914,1152,RGB,wikimedia_commons
external_v1_starter_01_37ba0bc63d94,starter,electrical_starting_charging,external_audit/images/starter/external_v1_1_starter_01.jpg,37ba0bc63d94fff1ce22ea311005e5f1b75e36b1ed39983d3154ee817e65a260,640,348,RGB,wikimedia_commons
external_v1_starter_02_420e0674b6e0,starter,electrical_starting_charging,external_audit/images/starter/external_v1_1_starter_02.jpg,420e0674b6e0821a1b140067d747e28b1f46d54607cfb9d8d2ed7c3bddc6275c,1024,768,RGB,wikimedia_commons
external_v1_starter_03_166e9df9ce62,starter,electrical_starting_charging,external_audit/images/starter/external_v1_1_starter_03.jpg,166e9df9ce620aa8c2abc1f4fbb687866f69202403a28329cd55086b6475605e,1280,348,RGB,wikimedia_commons
external_v1_starter_04_70d635ebba29,starter,electrical_starting_charging,external_audit/images/starter/external_v1_1_starter_04.jpg,70d635ebba290d6f210d67c78b417ab4ef32e25e15691b632fdc70a89695b9cc,1280,960,RGB,wikimedia_commons
external_v1_starter_05_8cf8078c8811,starter,electrical_starting_charging,external_audit/images/starter/external_v1_1_starter_05.jpg,8cf8078c88113f32c3d4e95474ea08dd6a727e76e25ce321bbbe0988c8f80e47,666,499,RGB,wikimedia_commons
external_v1_starter_06_191f0cde3fd4,starter,electrical_starting_charging,external_audit/images/starter/external_v1_1_starter_06.jpg,191f0cde3fd4f0d2309a7fdabd88e2a6a0170ca0efcee6ccf8c48c80486f2226,667,499,RGB,wikimedia_commons
external_v1_starter_07_3b5d382c0056,starter,electrical_starting_charging,external_audit/images/starter/external_v1_1_starter_07.jpg,3b5d382c00567bae6cea9daed50ebd197bd8115eb2c9ac10cf8bb2b99ac86f4a,406,638,L,wikimedia_commons
external_v1_starter_08_cc4f6b8291ba,starter,electrical_starting_charging,external_audit/images/starter/external_v1_1_starter_08.jpg,cc4f6b8291bac965af95390776671c9a9b81bdded1b1824ce857f1423f234fac,1280,1707,RGB,wikimedia_commons
external_v1_starter_09_2cc13a963276,starter,electrical_starting_charging,external_audit/images/starter/external_v1_1_starter_09.jpg,2cc13a96327630a4ce22fb3ce045edeef2ca4be8ea6210ab9c44005d4f93ec1f,1280,1580,RGB,wikimedia_commons
external_v1_starter_10_f9fe47f4cb87,starter,electrical_starting_charging,external_audit/images/starter/external_v1_1_starter_10.jpg,f9fe47f4cb87029e6f9a723d0434a49348cf8e1c0c0f5a36923ca6a791f36f71,1280,720,RGB,wikimedia_commons
external_v1_taillight_01_4f0e094abaa7,taillight,lighting,external_audit/images/taillight/external_v1_1_taillight_01.jpg,4f0e094abaa701223653cc4d017ada16515671faa89e02733c62aa2d69996d66,1280,1707,RGB,wikimedia_commons
external_v1_taillight_02_ba16de0efc3b,taillight,lighting,external_audit/images/taillight/external_v1_1_taillight_02.jpg,ba16de0efc3b95859d91d71113ac177b0d07fdfec587be4d5a602cb7e9849fb6,1280,1707,RGB,wikimedia_commons
external_v1_taillight_03_1f54c949e4da,taillight,lighting,external_audit/images/taillight/external_v1_1_taillight_03.jpg,1f54c949e4daf1ce49bfa2b69b7c8c5d16157e6dbc525805297df1809d0ba89f,1280,960,RGB,wikimedia_commons
external_v1_taillight_04_2cd31a6a70a8,taillight,lighting,external_audit/images/taillight/external_v1_1_taillight_04.jpg,2cd31a6a70a8e1e22297064ff98b7131fb4bf3283fa4cb9561b69a2ab2f88d34,1280,1448,RGB,wikimedia_commons
external_v1_taillight_05_97b8ba099eec,taillight,lighting,external_audit/images/taillight/external_v1_1_taillight_05.jpg,97b8ba099eec1c3ed2e2b5b0e002c23a62807ab33997444ff88423eb2da73478,683,1024,RGB,wikimedia_commons
external_v1_taillight_06_f36f9676225c,taillight,lighting,external_audit/images/taillight/external_v1_1_taillight_06.jpg,f36f9676225c88ce0f542b861f033b7805b845ae28ca2fa791748ca11f54b212,1280,960,RGB,wikimedia_commons
external_v1_taillight_07_aa9e471e5f16,taillight,lighting,external_audit/images/taillight/external_v1_1_taillight_07.jpg,aa9e471e5f16702bc044cb9c9b8253190a697a2dee1c0c1bfb70760139167041,1280,1920,RGB,wikimedia_commons
external_v1_taillight_08_51c9beff9d5e,taillight,lighting,external_audit/images/taillight/external_v1_1_taillight_08.jpg,51c9beff9d5ea0d2b9d9ee3fbef0349f4b9d9900f21b358bcaf6848212902b37,1280,914,RGB,wikimedia_commons
external_v1_taillight_09_ffae12ad21ab,taillight,lighting,external_audit/images/taillight/external_v1_1_taillight_09.jpg,ffae12ad21ab059acd33fb6b91f9a734a52bd38910e689e310e56e670299c1e5,1280,1704,RGB,wikimedia_commons
external_v1_taillight_10_74786f3c9a07,taillight,lighting,external_audit/images/taillight/external_v1_1_taillight_10.jpg,74786f3c9a07fbe1c1e9a986f0b0b3059f5e602e052147630bb11c6a40796d65,1280,960,RGB,wikimedia_commons
