category,selection_order,candidate_number,repo_path,commons_category,commons_title,author,license,source_page,sha256
starter,1,1,external_audit/images/starter/external_v1_1_starter_01.jpg,Category:Electric starter motors,File:Anlasser 1920er Jahre.jpg,Stahlkocher,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Anlasser_1920er_Jahre.jpg,37ba0bc63d94fff1ce22ea311005e5f1b75e36b1ed39983d3154ee817e65a260
starter,2,2,external_audit/images/starter/external_v1_1_starter_02.jpg,Category:Electric starter motors,File:Automobile starter.JPG,"Willdre 00:20, 8 February 2007 (UTC)",CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Automobile_starter.JPG,420e0674b6e0821a1b140067d747e28b1f46d54607cfb9d8d2ed7c3bddc6275c
starter,3,4,external_audit/images/starter/external_v1_1_starter_03.jpg,Category:Electric starter motors,File:Startér motoru cs.jpg,"I would appreciate being notified if you use my work outside Wikimedia. Do not copy this image illegally by ignoring the terms of the license below, as it is not in the public domain. If you would like special permission to use, license, or purchase the image please contact me to negotiate terms. More of my work can be found in my personal gallery .",CC BY 3.0,https://commons.wikimedia.org/wiki/File:Start%C3%A9r_motoru_cs.jpg,166e9df9ce620aa8c2abc1f4fbb687866f69202403a28329cd55086b6475605e
starter,4,6,external_audit/images/starter/external_v1_1_starter_04.jpg,Category:Electric starter motors,File:Iskra AZE 3508.JPG,Milicevic01,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Iskra_AZE_3508.JPG,70d635ebba290d6f210d67c78b417ab4ef32e25e15691b632fdc70a89695b9cc
starter,5,7,external_audit/images/starter/external_v1_1_starter_05.jpg,Category:Electric starter motors,File:Стартер ДО.jpg,Vipwelder,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:%D0%A1%D1%82%D0%B0%D1%80%D1%82%D0%B5%D1%80_%D0%94%D0%9E.jpg,8cf8078c88113f32c3d4e95474ea08dd6a727e76e25ce321bbbe0988c8f80e47
starter,6,8,external_audit/images/starter/external_v1_1_starter_06.jpg,Category:Electric starter motors,File:Стартер ПОСЛЕ.jpg,Vipwelder,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:%D0%A1%D1%82%D0%B0%D1%80%D1%82%D0%B5%D1%80_%D0%9F%D0%9E%D0%A1%D0%9B%D0%95.jpg,191f0cde3fd4f0d2309a7fdabd88e2a6a0170ca0efcee6ccf8c48c80486f2226
starter,7,9,external_audit/images/starter/external_v1_1_starter_07.jpg,Category:Electric starter motors,File:Стартер Mazda 3.jpg,Vipwelder,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:%D0%A1%D1%82%D0%B0%D1%80%D1%82%D0%B5%D1%80_Mazda_3.jpg,3b5d382c00567bae6cea9daed50ebd197bd8115eb2c9ac10cf8bb2b99ac86f4a
starter,8,11,external_audit/images/starter/external_v1_1_starter_08.jpg,Category:Electric starter motors,"File:VST, starter motor and solenoides of a Tohatsu MFS30B outboard motor.jpg",PtiBzh,CC0,"https://commons.wikimedia.org/wiki/File:VST,_starter_motor_and_solenoides_of_a_Tohatsu_MFS30B_outboard_motor.jpg",cc4f6b8291bac965af95390776671c9a9b81bdded1b1824ce857f1423f234fac
starter,9,12,external_audit/images/starter/external_v1_1_starter_09.jpg,Category:Electric starter motors,File:Démarreur d'une Renault 5.jpg,Kev22,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:D%C3%A9marreur_d%27une_Renault_5.jpg,2cc13a96327630a4ce22fb3ce045edeef2ca4be8ea6210ab9c44005d4f93ec1f
starter,10,13,external_audit/images/starter/external_v1_1_starter_10.jpg,Category:Electric starter motors,File:Magneton anlaser za Zastavu.jpg,Milicevic01,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Magneton_anlaser_za_Zastavu.jpg,f9fe47f4cb87029e6f9a723d0434a49348cf8e1c0c0f5a36923ca6a791f36f71
headlight,1,1,external_audit/images/headlight/external_v1_1_headlight_01.jpg,Category:Automobile headlamps,File:1917Packard2-25ConvertableCoupeHeadlightCrankholder.jpg,Infrogmation of New Orleans,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:1917Packard2-25ConvertableCoupeHeadlightCrankholder.jpg,ebb53b0664ffc057a24689f15e057071ad72be7cd7ba9c32c0342f5ddfe5301a
headlight,2,3,external_audit/images/headlight/external_v1_1_headlight_02.jpg,Category:Automobile headlamps,File:1913 Ford Model T Speedster headlight front.JPG,BrokenSphere,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:1913_Ford_Model_T_Speedster_headlight_front.JPG,8f6f5e258146811764e48792a00a38fa9574edf56027a75dc07f5991eddd9828
headlight,3,5,external_audit/images/headlight/external_v1_1_headlight_03.jpg,Category:Automobile headlamps,File:1912 Hupmobile Model 32 door spotlight.jpg,trekphiler,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:1912_Hupmobile_Model_32_door_spotlight.jpg,349988cab9ad2e0ae4a81c277834baff0dd32903e2e5d1e077fb8df4355e0f8d
headlight,4,6,external_audit/images/headlight/external_v1_1_headlight_04.jpg,Category:Automobile headlamps,File:1912 McLaughlin light.jpg,Trekphiler,CC BY 3.0,https://commons.wikimedia.org/wiki/File:1912_McLaughlin_light.jpg,5ff8bf0f51267956abbb3f5ca0801e1a3513e17fbe24cd2913e8408c0ee01f6b
headlight,5,7,external_audit/images/headlight/external_v1_1_headlight_05.jpg,Category:Automobile headlamps,File:1912 McLaughlin headlight.jpg,Trekphiler,CC BY 3.0,https://commons.wikimedia.org/wiki/File:1912_McLaughlin_headlight.jpg,67e354db9f444d9b679c65a4e2f13e748246f322b2ad936a79ecd17ff7844dcd
headlight,6,9,external_audit/images/headlight/external_v1_1_headlight_06.jpg,Category:Automobile headlamps,File:1903 Beliet 20CV Demi Limousine IMG 0807 - Flickr - nemor2.jpg,"nemor2 from Stuttgart, Germany",CC BY 2.0,https://commons.wikimedia.org/wiki/File:1903_Beliet_20CV_Demi_Limousine_IMG_0807_-_Flickr_-_nemor2.jpg,25c92851d2f2ff057ab3a588ceb49e5091194e2a6a9aceeff8b3191887680fdd
headlight,7,11,external_audit/images/headlight/external_v1_1_headlight_07.jpg,Category:Automobile headlamps,File:1904 Arrol-Johnston Trois Cylindre 20HP Detachable-Top Limousine IMG 0818 - Flickr - nemor2.jpg,"nemor2 from Stuttgart, Germany",CC BY 2.0,https://commons.wikimedia.org/wiki/File:1904_Arrol-Johnston_Trois_Cylindre_20HP_Detachable-Top_Limousine_IMG_0818_-_Flickr_-_nemor2.jpg,77adc5fcb3dae7140623a80146af7483dbd4209ebd3524d64f1bbdf0f169a29a
headlight,8,15,external_audit/images/headlight/external_v1_1_headlight_08.jpg,Category:Automobile headlamps,"File:"" 12 - ITALY - headlamps FIAT 850 sport.jpg",Pava,CC BY-SA 3.0 it,https://commons.wikimedia.org/wiki/File:%22_12_-_ITALY_-_headlamps_FIAT_850_sport.jpg,4590298480bf3414beeaddf32266d803596fbf6852949563bcc22ca723458fb0
headlight,9,19,external_audit/images/headlight/external_v1_1_headlight_09.jpg,Category:Automobile headlamps,"File:"" 12 - ITALY - FIAT Freemont headlamps.jpg",Pava,CC BY-SA 3.0 it,https://commons.wikimedia.org/wiki/File:%22_12_-_ITALY_-_FIAT_Freemont_headlamps.jpg,04592ce2345d135a9f8b608ca995e697b3e0865686270ffaccf4e33181d8c0d2
headlight,10,23,external_audit/images/headlight/external_v1_1_headlight_10.jpg,Category:Automobile headlamps,File:13-04-05-Skoda Museum Mladá Boleslav by RalfR-117.jpg,Ralf Roletschek,CC BY 3.0,https://commons.wikimedia.org/wiki/File:13-04-05-Skoda_Museum_Mlad%C3%A1_Boleslav_by_RalfR-117.jpg,60746ae766f15bf0a940972b6a896e2e3b73326fa3906e396cb5b233210d912e
taillight,1,1,external_audit/images/taillight/external_v1_1_taillight_01.jpg,Category:Automobile rear lights,File:1930 Graham sedan tl.jpg,"CZmarlin — Christopher Ziemnowicz, releases all rights but a photo credit would be appreciated if this image is used anywhere other than Wikipedia. Please leave a note at Wikipedia here . Thank you!",Public domain,https://commons.wikimedia.org/wiki/File:1930_Graham_sedan_tl.jpg,4f0e094abaa701223653cc4d017ada16515671faa89e02733c62aa2d69996d66
taillight,2,2,external_audit/images/taillight/external_v1_1_taillight_02.jpg,Category:Automobile rear lights,File:001 MiTo2.jpg,Pava,CC0,https://commons.wikimedia.org/wiki/File:001_MiTo2.jpg,ba16de0efc3b95859d91d71113ac177b0d07fdfec587be4d5a602cb7e9849fb6
taillight,3,3,external_audit/images/taillight/external_v1_1_taillight_03.jpg,Category:Automobile rear lights,File:- 159 rear light.jpg,Pava,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:-_159_rear_light.jpg,1f54c949e4daf1ce49bfa2b69b7c8c5d16157e6dbc525805297df1809d0ba89f
taillight,4,6,external_audit/images/taillight/external_v1_1_taillight_04.jpg,Category:Automobile rear lights,File:' 11 - ITALY - Fiat Punto Evo Milano 01.JPG,Andrea Pavanello,CC BY-SA 3.0 it,https://commons.wikimedia.org/wiki/File:%27_11_-_ITALY_-_Fiat_Punto_Evo_Milano_01.JPG,2cd31a6a70a8e1e22297064ff98b7131fb4bf3283fa4cb9561b69a2ab2f88d34
taillight,5,7,external_audit/images/taillight/external_v1_1_taillight_05.jpg,Category:Automobile rear lights,File:1928-29 Peugeot Typ 184 IMG 2843 - Flickr - nemor2.jpg,"nemor2 from Stuttgart, Germany",CC BY 2.0,https://commons.wikimedia.org/wiki/File:1928-29_Peugeot_Typ_184_IMG_2843_-_Flickr_-_nemor2.jpg,97b8ba099eec1c3ed2e2b5b0e002c23a62807ab33997444ff88423eb2da73478
taillight,6,10,external_audit/images/taillight/external_v1_1_taillight_06.jpg,Category:Automobile rear lights,File:13 FIAT Dodge Dart at NAIAS 2012 rear light.jpg,Autoviva,CC BY 2.0,https://commons.wikimedia.org/wiki/File:13_FIAT_Dodge_Dart_at_NAIAS_2012_rear_light.jpg,f36f9676225c88ce0f542b861f033b7805b845ae28ca2fa791748ca11f54b212
taillight,7,15,external_audit/images/taillight/external_v1_1_taillight_07.jpg,Category:Automobile rear lights,"File:"" 12 - ITALY - rear light.jpg",Curri,CC BY-SA 3.0 it,https://commons.wikimedia.org/wiki/File:%22_12_-_ITALY_-_rear_light.jpg,aa9e471e5f16702bc044cb9c9b8253190a697a2dee1c0c1bfb70760139167041
taillight,8,18,external_audit/images/taillight/external_v1_1_taillight_08.jpg,Category:Automobile rear lights,"File:"" 12 Fiat-Chrysler SRT Viper red rear.jpg",GabboT,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:%22_12_Fiat-Chrysler_SRT_Viper_red_rear.jpg,51c9beff9d5ea0d2b9d9ee3fbef0349f4b9d9900f21b358bcaf6848212902b37
taillight,9,21,external_audit/images/taillight/external_v1_1_taillight_09.jpg,Category:Automobile rear lights,"File:"" 13 - rear light of Alfa Romeo 4C.jpg",Edvvc,CC BY 2.0 it,https://commons.wikimedia.org/wiki/File:%22_13_-_rear_light_of_Alfa_Romeo_4C.jpg,ffae12ad21ab059acd33fb6b91f9a734a52bd38910e689e310e56e670299c1e5
taillight,10,24,external_audit/images/taillight/external_v1_1_taillight_10.jpg,Category:Automobile rear lights,File:'14 Infiniti QX80 -- Rear (MIAS '14).jpg,Bull-Doser,Public domain,https://commons.wikimedia.org/wiki/File:%2714_Infiniti_QX80_--_Rear_(MIAS_%2714).jpg,74786f3c9a07fbe1c1e9a986f0b0b3059f5e602e052147630bb11c6a40796d65
spark_plug,1,1,external_audit/images/spark_plug/external_v1_1_spark_plug_01.jpg,Category:Spark plugs,File:Bougie.jpg,M.Minderhoud,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Bougie.jpg,157e16ee22ae1e6baee867a6ecd546b0c37bef6f8920559236b53407e6f9f736
spark_plug,2,2,external_audit/images/spark_plug/external_v1_1_spark_plug_02.jpg,Category:Spark plugs,File:Historic spark plugs.jpg,,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Historic_spark_plugs.jpg,c98f0d1f3a7446bc33acb538098bf5885da79f0d5447c5206736a57bce3f5a0e
spark_plug,3,3,external_audit/images/spark_plug/external_v1_1_spark_plug_03.jpg,Category:Spark plugs,File:67d2scd.jpg,User Gzuckier on en.wikipedia,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:67d2scd.jpg,1d9631b0cff28d8c7e2c1e5b2fa67d78009e6c642c4129caf109154f93538696
spark_plug,4,4,external_audit/images/spark_plug/external_v1_1_spark_plug_04.jpg,Category:Spark plugs,File:Bougie2.jpg,[2],CC BY 2.0,https://commons.wikimedia.org/wiki/File:Bougie2.jpg,52d98448c3b200d72999e3ce83feff6a499e6c15d4170ebc91ab864815538fd0
spark_plug,5,5,external_audit/images/spark_plug/external_v1_1_spark_plug_05.jpg,Category:Spark plugs,File:Bougie3.jpg,[2],CC BY 2.0,https://commons.wikimedia.org/wiki/File:Bougie3.jpg,8dc1713e9b07fe27b80edf7ea1476b84f09448f58b96d63e3d95ff6c3af7cdd6
spark_plug,6,7,external_audit/images/spark_plug/external_v1_1_spark_plug_06.jpg,Category:Spark plugs,File:Bujía Bosch Yttrium Super Plus.JPG,Schumi4ever,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Buj%C3%ADa_Bosch_Yttrium_Super_Plus.JPG,ddd09e50252df4795167fce58ed8696a9c892e43a92a2b93c5168df7f4736c5a
spark_plug,7,13,external_audit/images/spark_plug/external_v1_1_spark_plug_07.jpg,Category:Spark plugs,File:Candela rotta.jpg,A7N8X,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Candela_rotta.jpg,0a5a3ad8aa4155fac8c0c54594d98d72b7e5ffef9cb77e2b913590880d9ae0ed
spark_plug,8,17,external_audit/images/spark_plug/external_v1_1_spark_plug_08.jpg,Category:Spark plugs,File:Polytec Spark plugs (4259641355).jpg,"Sergey Rodovnichenko from Moscow, Russia",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Polytec_Spark_plugs_(4259641355).jpg,6e9a09ceb86226178edcc53cd598936eb7d870a77b1a17fbc87d0a2768229926
spark_plug,9,18,external_audit/images/spark_plug/external_v1_1_spark_plug_09.jpg,Category:Spark plugs,File:Elettrodi candele.jpg,A7N8X,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Elettrodi_candele.jpg,b7458f7e3ed42e040f557ea29e5543f54d4d2bf4254e129b28e7b68e8d5867e9
spark_plug,10,20,external_audit/images/spark_plug/external_v1_1_spark_plug_10.jpg,Category:Spark plugs,File:Candele d'accensione confronto.jpg,A7N8X,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Candele_d%27accensione_confronto.jpg,34217f5022c9e83007e3eb6c017c8b7d6c5c5c160a34c4e386d77334d80cd3b7
ignition_coil,1,2,external_audit/images/ignition_coil/external_v1_1_ignition_coil_01.jpg,Category:Ignition coils,File:Bobine.jpg,Michiel1972 at Dutch Wikipedia,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Bobine.jpg,d464ad2a67f4e8ab3367db4c6168b3cbee3482c682197ecf7257afb3c571849c
ignition_coil,2,3,external_audit/images/ignition_coil/external_v1_1_ignition_coil_02.jpg,Category:Ignition coils,File:Zuendsp.jpg,Ulfbastel,Public domain,https://commons.wikimedia.org/wiki/File:Zuendsp.jpg,cdfe982896333d0c8324c15e2c1ed67812e6c83f210bf14ebdc75c0889882d8d
ignition_coil,3,4,external_audit/images/ignition_coil/external_v1_1_ignition_coil_03.jpg,Category:Ignition coils,File:Ignition coils.jpg,Honda CB77 Restoration,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Ignition_coils.jpg,2d8fdc30af6c63be9535149aa39d526a20e59047578dfe03f7fa42d8152b52ea
ignition_coil,4,5,external_audit/images/ignition_coil/external_v1_1_ignition_coil_04.jpg,Category:Ignition coils,File:Magnetzuend.jpg,Ulfbastel,Public domain,https://commons.wikimedia.org/wiki/File:Magnetzuend.jpg,b905b49c0793a6137dbbda7071c6347c0ec6f921cb158b6f472f065931c33aee
ignition_coil,5,6,external_audit/images/ignition_coil/external_v1_1_ignition_coil_05.jpg,Category:Ignition coils,File:Ignition coil.jpg,"Nick Ares from Auburn, CA, United States",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Ignition_coil.jpg,a2e07d1727a5e18afb24caa6f8a47abd81f3e8df7a436cd05ff00cdf65d47c43
ignition_coil,6,8,external_audit/images/ignition_coil/external_v1_1_ignition_coil_06.jpg,Category:Ignition coils,File:Bobina a scarica persa.jpg,A7N8X,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Bobina_a_scarica_persa.jpg,9f53a4209f9fd6e6bfe0acfa27219ff4355f7c40738eeb14aa1e38dc2a8c16e8
ignition_coil,7,9,external_audit/images/ignition_coil/external_v1_1_ignition_coil_07.jpg,Category:Ignition coils,File:Ford EDIS Zündspule.jpg,Luitold,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Ford_EDIS_Z%C3%BCndspule.jpg,08001491e58d61860cdbb0355e3d3cd83e3801f9643d302b44353a9d49550565
ignition_coil,8,16,external_audit/images/ignition_coil/external_v1_1_ignition_coil_08.png,Category:Ignition coils,File:Vibrator ignition coil.png,Unknown author Unknown author,Public domain,https://commons.wikimedia.org/wiki/File:Vibrator_ignition_coil.png,60aa92b5c831a0de3eb0790d5acd8f2121a7c71a1fe34e6ee254163f06f3de55
ignition_coil,9,18,external_audit/images/ignition_coil/external_v1_1_ignition_coil_09.jpg,Category:Ignition coils,File:HKZ+TSZ(1970-1980).JPG,Tympanus,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:HKZ%2BTSZ(1970-1980).JPG,86315949986b91fe1ddbf2fdb69a35188460e913e5fc812792cd7ed30775937b
ignition_coil,10,24,external_audit/images/ignition_coil/external_v1_1_ignition_coil_10.jpg,Category:Ignition coils,File:Bosch-Zünd-Apparat 1905.jpg,RudolfSimon,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Bosch-Z%C3%BCnd-Apparat_1905.jpg,4b88418cb46ef92a0f741fc517f91f4939f43e0d0d89a235305cf240dbfd4ff9
